Source data: /Users/nancyhd/Documents/Logomatic/Outputs/LOG01.bin
ADC, Accel X, Accel Y, Accel Z
1812,-0.2227,1.999,-0.085
1812,-0.2227,1.999,-0.0947
1812,-0.2197,1.999,-0.0771
1811,-0.2119,1.999,-0.082
1812,-0.2207,1.999,-0.0723
1812,-0.2129,1.999,-0.0859
1812,-0.2158,1.999,-0.1064
1812,-0.2158,1.999,-0.0947
1813,-0.2354,1.999,-0.0947
1812,-0.2305,1.999,-0.1064
1812,-0.2354,1.999,-0.0879
1812,-0.2256,1.999,-0.1104
1812,-0.2314,1.999,-0.0859
1811,-0.2471,1.999,-0.0801
1812,-0.2432,1.999,-0.0947
1812,-0.2383,1.999,-0.0977
1811,-0.2432,1.999,-0.0879
1811,-0.2383,1.999,-0.0869
1812,-0.2412,1.999,-0.1211
1811,-0.2412,1.999,-0.1064
1813,-0.2266,1.999,-0.082
1812,-0.2334,1.999,-0.0791
1812,-0.2227,1.999,-0.0869
1813,-0.2266,1.999,-0.082
1813,-0.2266,1.999,-0.0869
1812,-0.2314,1.999,-0.0781
1812,-0.2334,1.999,-0.1133
1812,-0.4063,1.999,0.123
1812,-0.2314,1.999,-0.2578
1813,-0.4971,1.999,-0.0693
1813,-0.6494,1.999,-0.3662
1813,-0.7959,1.999,-0.4521
1812,-0.8193,1.999,-0.3828
1812,-0.8037,1.999,-0.2813
1812,-0.8828,1.999,-0.2148
1811,-0.8682,1.999,-0.1807
1814,-0.8691,1.999,-0.2266
1812,-0.8477,1.999,-0.2354
1813,-0.9141,1.999,-0.1563
1812,-0.915,1.999,-0.1885
1813,-0.8906,1.999,-0.2275
1813,-0.8848,1.999,-0.2031
1812,-0.8926,1.999,-0.1973
1813,-0.9072,1.999,-0.2002
1813,-0.8877,1.999,-0.2314
1814,-0.8994,1.999,-0.2383
1812,-0.8916,1.999,-0.2471
1812,-0.9033,1.999,-0.2354
1813,-0.8945,1.999,-0.2461
1813,-0.9053,1.999,-0.2227
1813,-0.8994,1.999,-0.2422
1813,-0.9111,1.999,-0.2354
1812,-0.9033,1.999,-0.2568
1813,-0.9111,1.999,-0.2158
1812,-0.8926,1.999,-0.2383
1813,-0.8994,1.999,-0.2363
1813,-0.8945,1.999,-0.252
1812,-0.8916,1.999,-0.2578
1812,-0.9033,1.999,-0.2422
1813,-0.9033,1.999,-0.2441
1813,-0.8975,1.999,-0.2471
1813,-0.9033,1.999,-0.2314
1812,-0.8975,1.999,-0.2344
1813,-0.9023,1.999,-0.2227
1813,-0.8994,1.999,-0.2334
1813,-0.8975,1.999,-0.2354
1813,-0.8906,1.999,-0.25
1812,-0.8926,1.999,-0.2432
1813,-0.9033,1.999,-0.2207
1812,-0.9004,1.999,-0.2334
1813,-0.9004,1.999,-0.2314
1813,-0.8975,1.999,-0.2354
1812,-0.8994,1.999,-0.2275
1812,-0.9063,1.999,-0.2256
1811,-0.9053,1.999,-0.2207
1813,-0.8926,1.999,-0.2549
1812,-0.8994,1.999,-0.2471
1812,-0.9033,1.999,-0.2314
